codgeo,x,y,libgeo
01443,858264.078,6545682.913,Villars-les-Dombes
01444,889871.806,6530571.885,Villebois
01445,877687.378,6585529.393,Villemotier
01446,843165.145,6549666.268,Villeneuve
01447,884645.605,6568638.348,Villereversure
01448,913024.716,6558772.41,Villes
01449,874246.437,6548025.505,Villette-sur-Ain
01450,872752.477,6539410.062,Villieu-Loyes-Mollon
01451,871252.751,6574733.756,Viriat
01452,904868.941,6530878.131,Virieu-le-Grand
01453,911965.396,6538899.854,Arvière-en-Valromey
01454,910986.548,6517804.057,Virignin
01456,911620.116,6527434.974,Vongnes
01457,854024.827,6570497.152,Vonnas
02001,712806.175,6944529.374,Abbécourt
02002,728722.348,6955060.283,Achery
02003,730417.575,6916420.724,Acy
02004,769362.217,6957895.469,Agnicourt-et-Séchelles
02005,770268.647,6921984.949,Aguilcourt
02006,736779.768,6981429.913,Aisonville-et-Bernoville
02007,759332.091,6932024.795,Aizelles
02008,737099.541,6926674.547,Aizy-Jouy
02009,726478.701,6963100.875,Alaincourt
02010,732891.526,6929321.381,Allemant
02011,713377.429,6919687.746,Ambleny
02012,729391.348,6913605.007,Ambrief
02013,766863.978,6933623.026,Amifontaine
02014,721911.453,6945762.857,Amigny-Rouy
02015,715185.807,6902150.187,Ancienville
02016,726619.566,6949178.81,Andelain
02017,730882.619,6955039.323,Anguilcourt-le-Sart
02018,732821.063,6935306.59,Anizy-le-Grand
02019,712711.266,6957868.564,Annois
02020,788045.362,6976552.995,Any-Martin-Rieux
02021,780788.705,6961109.877,Archon
02022,734872.636,6906242.886,Arcy-Sainte-Restitue
02023,728239.186,6897171.104,Armentières-sur-Ourcq
02024,755374.413,6933594.503,Arrancy
02025,714230.744,6962518.518,Artemps
02027,740143.111,6953584.972,Assis-sur-Serre
02028,749914.788,6942063.025,Athies-sous-Laon
02029,711192.647,6972959.857,Attilly
02030,718738.745,6991774.151,Aubencheul-aux-Bois
02031,785704.55,6970196.536,Aubenton
02032,708611.137,6963717.216,Aubigny-aux-Kaisnes
02033,757450.537,6933330.581,Aubigny-en-Laonnois
02034,709253.325,6930948.338,Audignicourt
02035,745513.324,6974349.616,Audigny
02036,737080.548,6915747.192,Augy
02037,744056.974,6946929.171,Aulnois-sous-Laon
02038,788244.75,6963160.736,Les Autels
02039,757308.862,6956495.409,Autremencourt
02040,761553.833,6977904.086,Autreppes
02041,717160.353,6942973.076,Autreville
02042,726328.152,6878350.342,Azy-sur-Marne
02043,720262.246,6928947.971,Bagneux
02044,774695.804,6967041.915,Bancigny
02046,747799.922,6947180.9,Barenton-Bugny
02047,746616.69,6950074.258,Barenton-Cel
02048,749895.932,6952317.14,Barenton-sur-Serre
02049,723705.398,6942089.987,Barisis-aux-Bois
02050,753733.367,6993749.998,Barzy-en-Thiérache
02051,741034.683,6888066.626,Barzy-sur-Marne
02052,727906,6937188.955,Bassoles-Aulers
02053,745094.312,6878831.924,Vallées en Champagne
02054,744705.399,6912034.628,Bazoches-sur-Vesles
02055,782978.565,6969718.198,Beaumé
02056,709518.496,6954213.414,Beaumont-en-Beine
02057,723637.544,6988748.224,Beaurevoir
02058,754603.947,6922771.754,Beaurieux
02059,724426.53,6949910.022,Beautor
02060,707419.684,6970652.121,Beauvois-en-Vermandois
02061,732951.4,6990969.162,Becquigny
02062,721912.273,6887111.712,Belleau
02063,717578.736,6980824.608,Bellenglise
02064,724736.004,6917527.099,Belleu
02065,716575.482,6984565.037,Bellicourt
02066,722241.452,6961891.289,Benay
02067,751058.815,6992585.78,Bergues-sur-Sambre
02068,754479.688,6964902.813,Berlancourt
02069,780399.108,6951957.725,Berlise
02070,735054.695,6975687.933,Bernot
02071,710843.77,6923558.8,Berny-Rivière
02072,761777.525,6931832.095,Berrieux
02073,765288.923,6923578.943,Berry-au-Bac
02074,728710.996,6947660.921,Bertaucourt-Epourdon
02075,726829.828,6964525.642,Berthenicourt
02076,773469.62,6922439.503,Bertricourt
02077,721583.159,6913114.595,Berzy-le-Sec
02078,711868.332,6937197.117,Besmé
02079,780494.79,6969996.043,Besmont
02080,741733.394,6943818.712,Besny-et-Loizy
02081,710168.059,6947785.23,Béthancourt-en-Vaux
02082,730386.575,6903066.602,Beugneux
02083,735926.558,6892387.389,Beuvardes
02084,716660.121,6878913.905,Bézu-le-Guéry
02085,729845.594,6889578.307,Bézu-Saint-Germain
02086,715373.578,6942232.602,Bichancourt
02087,719609.321,6927579.318,Bieuxy
02088,751770.889,6932781.89,Bièvres
02089,727406.364,6917387.296,Billy-sur-Aisne
02090,721790.438,6902465.934,Billy-sur-Ourcq
02091,748818.968,6915427.098,Blanzy-lès-Fismes
02093,710962.051,6934264.891,Blérancourt
02094,733942.914,6880862.981,Blesmes
02095,733372.916,6987896.516,Bohain-en-Vermandois
02096,747185.869,6960062.205,Bois-lès-Pargny
02097,769131.689,6947850.774,Boncourt
02098,725317.535,6878745.204,Bonneil
02099,723728.198,6891877.402,Bonnesvalyn
02100,715882.576,6988059.38,Bony
02101,762589.119,6960389.03,Bosmont-sur-Serre
02102,754880.676,6929248.938,Bouconville-Vauclair
02103,751225.654,6990594.375,Boué
02104,761446.158,6920249.125,Bouffignereux
02105,723172.298,6885341.734,Bouresches
02106,747877.21,6922780.313,Bourg-et-Comin
02107,711175.819,6938244.993,Bourguignon-sous-Coucy
02108,738899.098,6936804.118,Bourguignon-sous-Montbavin
02109,769177.766,6975911.882,La Bouteille
02110,738990.826,6916662.556,Braine
02111,729881.254,6935324.517,Brancourt-en-Laonnois
02112,728285.762,6986965.938,Brancourt-le-Grand
02114,731009.445,6884222.643,Brasles
02115,744254.441,6926597.48,Braye-en-Laonnois
02116,769342.809,6963670.095,Braye-en-Thiérache
02117,710174.448,6963955.909,Bray-Saint-Christophe
02118,727342.758,6924884.219,Braye
